,ID,Mac,SSID,Time,Frequncy,Signal,Lat,Lon,Alt
126,model=Lenovo PB2-690Y_device=PB2PRO,10:5a:f7:0f:d5:32,Zvi_2.4,12/1/2017 10:49,11,-91,32.17228106,34.81440381,51.0
127,model=Lenovo PB2-690Y_device=PB2PRO,62:ee:0c:3d:eb:b9,BezeqFree,12/1/2017 10:49,9,-88,32.17227827,34.81413625,45.0
128,model=SM-G950F_device=dreamlte,00:12:2a:35:c8:7c,Chakir,12/1/2017 10:49,1,-86,32.17228483,34.8140369,30.590053829999995
129,model=Lenovo PB2-690Y_device=PB2PRO,b0:b2:8f:01:ad:fe,Lahav,12/1/2017 10:49,11,-73,32.17239255875718,34.813445412743455,39.35167962366105
130,model=Lenovo PB2-690Y_device=PB2PRO,14:ae:db:ba:1e:85,GuyHila,12/1/2017 10:50,11,-76,32.1724094,34.81316731,41.0
131,model=Lenovo PB2-690Y_device=PB2PRO,08:97:58:32:d2:98,NIPPON_3687,12/1/2017 10:50,2,-79,32.17251952515262,34.81244819808286,35.37354302121694
132,model=Lenovo PB2-690Y_device=PB2PRO,fc:75:16:55:27:fa,BS-WIFI-4EVER,12/1/2017 10:50,6,-94,32.17250306,34.81263803,42.0
133,model=SM-G950F_device=dreamlte,00:78:9e:f9:e8:58,Hotbox,12/1/2017 10:50,11,-91,32.17252252,34.81247912,31.6513231
134,model=Lenovo PB2-690Y_device=PB2PRO,3c:52:82:af:42:75,DIRECT-74-HP DeskJet 4670 series,12/1/2017 10:50,1,-59,32.17253375,34.81242662,42.0
135,model=Lenovo PB2-690Y_device=PB2PRO,c4:12:f5:85:27:c1,varda_HD,12/1/2017 10:50,60,-88,32.17226944,34.81201158,41.0
136,model=SM-G950F_device=dreamlte,3c:1e:04:07:2a:ff,ronkla2_5,12/1/2017 10:50,48,-85,32.17135803,34.81168874,31.090525570000004
137,model=Lenovo PB2-690Y_device=PB2PRO,c4:a8:1d:12:df:c5,maya salon,12/1/2017 10:50,1,-89,32.1712926205347,34.812243022487316,33.69111416124605
138,model=Lenovo PB2-690Y_device=PB2PRO,52:a8:1d:12:df:c4,@Cafe,12/1/2017 10:50,1,-92,32.171290880406936,34.81226370160693,33.57526011560693
139,model=Lenovo PB2-690Y_device=PB2PRO,00:c0:02:0a:c6:c2,luxynet,12/1/2017 10:50,7,-93,32.17134232,34.81165241,37.0
140,model=SM-G950F_device=dreamlte,64:d9:54:e4:95:37,Gana7_2GExt,12/1/2017 10:50,5,-88,32.17071182225449,34.811336294875034,31.22900621869478
141,model=Lenovo PB2-690Y_device=PB2PRO,48:ee:0c:3c:30:1e,Gana7,12/1/2017 10:50,5,-93,32.1708157,34.81137225,32.0
142,model=SM-G950F_device=dreamlte,d8:5d:4c:d9:c4:68,shlomi,12/1/2017 11:05,1,-65,32.170420761772405,34.81117710262193,34.094636730873844
143,model=SM-G950F_device=dreamlte,00:24:2b:cf:13:21,stephane,12/1/2017 11:05,1,-64,32.17021043384843,34.81109193914972,37.12648255657301
144,model=SM-G950F_device=dreamlte,00:78:9e:fb:1e:09,HOTBOX-4D4E,12/1/2017 10:50,1,-91,32.17005339,34.81099874,30.62659342
145,model=Lenovo PB2-690Y_device=PB2PRO,c4:a8:1d:13:2a:95,Eric 2.4,12/1/2017 10:50,1,-87,32.1699948,34.81094348,29.0
146,model=Lenovo PB2-690Y_device=PB2PRO,74:da:38:97:66:9d,oved-main_2EX,12/1/2017 10:51,6,-77,32.169859800335466,34.81090683820361,29.207255552092732
147,model=Lenovo PB2-690Y_device=PB2PRO,a0:8e:78:7f:2a:69,HOTBOX12,12/1/2017 10:51,1,-87,32.16983611,34.81088834,28.0
148,model=SM-G950F_device=dreamlte,10:be:f5:3f:b2:ce,bait,12/1/2017 11:05,10,-92,32.1697634453919,34.81087437094797,34.61511817972485
149,model=SM-G950F_device=dreamlte,74:da:39:54:b8:1d,oved-main,12/1/2017 10:54,6,-64,32.169543593688836,34.81078684768421,28.633504451227783
150,model=Lenovo PB2-690Y_device=PB2PRO,c0:ac:54:f8:6b:28,Li,12/1/2017 10:51,1,-80,32.16970224,34.81083489,27.0
151,model=Lenovo PB2-690Y_device=PB2PRO,48:ee:0c:39:f9:15,Ronizyc1,12/1/2017 10:51,5,-85,32.169526477292365,34.810772077039324,23.0
152,model=SM-G950F_device=dreamlte,c4:12:f5:f9:5c:7c,Lili,12/1/2017 11:05,11,-79,32.16947314337684,34.81076816203343,35.90922172729192
153,model=SM-G950F_device=dreamlte,74:da:38:c3:12:45,Liliup,12/1/2017 10:51,2,-88,32.16949135,34.81077185,30.41870876
154,model=SM-G950F_device=dreamlte,10:fe:ed:74:fc:46,Alpha125,12/1/2017 10:51,1,-90,32.169406829111324,34.81074521349915,30.702967335464866
155,model=SM-G950F_device=dreamlte,ac:f1:df:76:a0:9c,dlink-A09C,12/1/2017 10:51,11,-91,32.16939951111702,34.81073876833732,27.312818698302273
156,model=Lenovo PB2-690Y_device=PB2PRO,74:da:38:a9:24:1c,edimax_5G_A9241C,12/1/2017 10:52,40,-79,32.16937130645447,34.81071843937817,30.53126680472371
157,model=Lenovo PB2-690Y_device=PB2PRO,c8:d7:19:d4:7c:73,forestisthebest,12/1/2017 10:51,6,-93,32.16937301,34.81072683,27.0
158,model=SM-G950F_device=dreamlte,7c:b7:33:2b:c4:52,spielman,12/1/2017 10:53,1,-73,32.16935941,34.81072496,29.922548671114384
159,model=SM-G950F_device=dreamlte,7c:03:4c:fe:f6:68,evanson,12/1/2017 10:54,1,-80,32.16935941,34.810724959999995,29.763062985104657
160,model=Lenovo PB2-690Y_device=PB2PRO,c8:d7:19:d4:7c:75,forestisthebest-guest,12/1/2017 10:52,6,-94,32.16936666,34.81070436,31.0
161,model=Lenovo PB2-690Y_device=PB2PRO,62:be:f5:40:26:83,BezeqFree,12/1/2017 10:55,10,-96,32.16935676,34.81068889,29.0
162,model=Lenovo PB2-690Y_device=PB2PRO,34:36:3b:c2:be:b8,Home,12/1/2017 10:55,11,-91,32.16923806,34.81066982,25.0
163,model=SM-G950F_device=dreamlte,74:da:38:c3:0d:6b,Jamcanup,12/1/2017 10:55,2,-87,32.16917019,34.81066503,28.81036798
164,model=SM-G950F_device=dreamlte,74:da:38:b6:f6:c9,Jamcandown,12/1/2017 10:55,4,-89,32.16917019,34.81066503,28.81036798
165,model=SM-G950F_device=dreamlte,74:da:38:d3:bb:81,edimax_2.4G_ruty,12/1/2017 10:55,2,-80,32.16917019,34.81066503,28.773555040000005
166,model=Lenovo PB2-690Y_device=PB2PRO,10:be:f5:40:26:82,Home,12/1/2017 10:56,10,-89,32.16916884,34.81065234,31.000000000000004
167,model=SM-G950F_device=dreamlte,f8:d1:11:b1:92:93,iFOREX,12/1/2017 10:56,6,-91,32.16888141,34.81057059,27.56438271
168,model=SM-G950F_device=dreamlte,aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,12/1/2017 10:57,1,-91,32.168811412470646,34.810598887598296,29.19300339315067
169,model=Lenovo PB2-690Y_device=PB2PRO,f8:ab:05:46:de:55,Levy,12/1/2017 10:57,10,-85,32.16876228,34.81066791,31.0
170,model=Lenovo PB2-690Y_device=PB2PRO,ec:8c:a2:09:dd:48,LRWN,12/1/2017 10:57,11,-59,32.16884098612326,34.81177021515183,28.24497563219638
171,model=SM-G950F_device=dreamlte,c0:ac:54:f6:ae:5e,HOTBOX111,12/1/2017 10:57,11,-77,32.16875525,34.8112991,26.89518462
172,model=SM-G950F_device=dreamlte,b4:ee:b4:36:dd:b9,HOTFiber-400D,12/1/2017 10:57,6,-89,32.1688377,34.81174537,26.96056003
173,model=SM-G950F_device=dreamlte,e0:ce:c3:86:a7:9e,Talfamily,12/1/2017 10:57,1,-80,32.16889806,34.8118332,27.057519940000002
174,model=SM-G950F_device=dreamlte,16:ae:db:c1:ae:55,Fuck Off Yourself,12/1/2017 10:57,9,-79,32.16927107,34.81201045,27.21999505
175,model=SM-G950F_device=dreamlte,a4:2b:b0:e0:3a:01,Fuck Off ext,12/1/2017 10:57,11,-80,32.16927107,34.81201045,27.21999505
176,model=SM-G950F_device=dreamlte,86:2a:a8:eb:a9:60,Mheta_AP,12/1/2017 10:57,6,-90,32.16927107,34.81201045,27.21999505
177,model=Lenovo PB2-690Y_device=PB2PRO,e0:ce:c3:23:12:30,HOTFiber arama,12/1/2017 10:57,1,-76,32.16957574,34.81265851,32.0
178,model=SM-G950F_device=dreamlte,ec:8e:b5:05:57:19,DIRECT-29-HP OfficeJet Pro 8710,12/1/2017 10:57,6,-91,32.16957209,34.81340832,27.26150168
179,model=Lenovo PB2-690Y_device=PB2PRO,00:30:4f:91:38:b3,hilda,12/1/2017 10:57,6,-73,32.1696487,34.81343376,35.0
180,model=Lenovo PB2-690Y_device=PB2PRO,52:0d:7f:83:6c:ff,Bezeq Free 836CFE,12/1/2017 10:57,11,-90,32.1696487,34.81343376,35.0
181,model=Lenovo PB2-690Y_device=PB2PRO,10:0d:7f:83:6c:fe,NETGEAR_DGN2200,12/1/2017 10:57,11,-93,32.1696487,34.81343376,35.0
182,model=Lenovo PB2-690Y_device=PB2PRO,90:8d:78:54:d9:69,Ab,12/1/2017 10:57,10,-95,32.1696487,34.81343376,35.0
183,model=Lenovo PB2-690Y_device=PB2PRO,48:ee:0c:3b:ac:5a,kawasaki,12/1/2017 10:57,11,-75,32.16981779,34.81346387,35.0
184,model=Lenovo PB2-690Y_device=PB2PRO,62:ee:0c:3b:ac:5b,Bezeq Free,12/1/2017 10:57,11,-75,32.16981779,34.81346387,35.0
