WigleWifi-1.4,appRelease=2.25,model=GT-N7100,release=4.4.2,device=t03g,display=Android Revolution HD 31.0 by mike1986,board=smdk4x12,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
e8:94:f6:01:ef:3e,TP-LINK_AP_01EF3E,[WPS][ESS],03/11/2017 18:47:55,6,-95,32.25354151,34.92189422,65.73381403,32,WIFI
56:35:30:78:d6:c3,DIRECT-Th-BRAVIA,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:47:55,11,-89,32.25354151,34.92189422,65.73381403,32,WIFI
b4:ee:b4:fe:29:23,HOTFiber-0953,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:47:55,13,-91,32.25354151,34.92189422,65.73381403,32,WIFI
18:a6:f7:e1:89:a4,Suissa-Family-24,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:47:55,6,-92,32.25354151,34.92189422,65.73381403,32,WIFI
42502_22851_5611382,GOLAN T,UNKNOWN;il,03/11/2017 18:47:55,0,-87,32.25354151,34.92189422,65.73381403,32,GSM
14:ae:db:32:a4:f2,Landsmann2,[WPA2-PSK-CCMP][ESS],03/11/2017 18:47:57,5,-94,32.25354151,34.92189422,66.16675956,32,WIFI
fa:8f:ca:65:8c:8b,,[ESS],03/11/2017 18:47:57,6,-94,32.25354151,34.92189422,66.16675956,32,WIFI
84:16:f9:3b:c9:e4,Elkanovich 3rd floor,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:00,1,-95,32.25355332,34.92204114,68.71139127,32,WIFI
d4:6e:0e:fb:80:6e,ElkanovichSalon,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:02,4,-90,32.25367437,34.92202671,70.35457996,24,WIFI
a0:4f:d4:2a:cc:f1,YAIR_2.4,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:07,1,-80,32.25413665,34.92220759,69.23544189,24,WIFI
5a:ab:1b:61:d2:f7,BezeqFree,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:07,9,-90,32.25413665,34.92220759,69.23544189,24,WIFI
a0:ab:1b:61:d2:f6,SHAULKOR,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:07,9,-91,32.25413665,34.92220759,69.23544189,24,WIFI
a0:04:60:88:33:af,YAIR_2.4_2GEXT,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:10,1,-88,32.25423239,34.92237965,72.21177022,24,WIFI
8e:f5:a3:c2:c2:9a,Shai,[WPA2-PSK-CCMP][ESS][SEC80],03/11/2017 18:48:10,1,-85,32.25423239,34.92237965,72.21177022,24,WIFI
c0:ac:54:f8:8b:06,HOTBOX-ED84,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:10,11,-89,32.25423239,34.92237965,72.21177022,24,WIFI
f0:b4:29:e3:97:00,linksys,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],03/11/2017 18:48:10,11,-91,32.25423239,34.92237965,72.21177022,24,WIFI
c4:a8:1d:7b:e2:b6,dlink-E2B6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],03/11/2017 18:48:10,6,-92,32.25423239,34.92237965,72.21177022,24,WIFI
b0:b2:8f:03:1a:a4,Lasker,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:10,6,-92,32.25423239,34.92237965,72.21177022,24,WIFI
42502_22851_5610693,GOLAN T,UNKNOWN;il,03/11/2017 18:48:10,0,-85,32.25423239,34.92237965,72.21177022,24,GSM
00:90:8f:81:c0:54,012Smile,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:13,10,-82,32.25445187,34.92257051,71.55329889,24,WIFI
74:da:3c:80:34:b8,012Smile,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:13,10,-85,32.25445187,34.92257051,71.55329889,24,WIFI
74:da:38:80:34:b7,012Smile_2EX,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:16,10,-92,32.25472237,34.92271117,71.89031318,24,WIFI
90:8d:78:51:b8:3b,home_5,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:16,48,-90,32.25472237,34.92271117,71.89031318,24,WIFI
c0:ff:d4:7b:c8:26,Gershon7745287,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:16,1,-92,32.25472237,34.92271117,71.89031318,24,WIFI
ec:8e:b5:01:73:0d,DIRECT-23-HP OfficeJet Pro 8710,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:16,6,-95,32.25472237,34.92271117,71.89031318,24,WIFI
c8:be:19:08:68:c9,baruch,[ESS],03/11/2017 18:48:16,11,-94,32.25472237,34.92271117,71.89031318,24,WIFI
42502_22851_5610699,GOLAN T,UNKNOWN;il,03/11/2017 18:48:16,0,-85,32.25472237,34.92271117,71.89031318,24,GSM
90:8d:78:51:b8:3c,home_2.4,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:19,8,-93,32.25487454,34.92282144,70.21858642,24,WIFI
74:da:da:07:6b:9f,DAP-1360,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:19,5,-95,32.25487454,34.92282144,70.21858642,24,WIFI
00:0c:c3:d0:21:8c,HOME,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],03/11/2017 18:48:19,11,-88,32.25487454,34.92282144,70.21858642,24,WIFI
14:ae:db:3b:66:a5,Tsur,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:19,1,-91,32.25487454,34.92282144,70.21858642,24,WIFI
c4:04:15:60:6e:e0,shmool,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:19,1,-92,32.25487454,34.92282144,70.21858642,24,WIFI
00:12:2a:1c:a7:8c,toibis,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:19,1,-95,32.25487454,34.92282144,70.21858642,24,WIFI
14:ae:db:3b:66:a5,Tsur,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:22,1,-83,32.2550409,34.92285823,66.67069271,32,WIFI
c4:04:15:60:6e:e0,shmool,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:22,1,-81,32.2550409,34.92285823,66.67069271,32,WIFI
00:78:9e:fa:d2:98,gabay,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:22,11,-86,32.2550409,34.92285823,66.67069271,32,WIFI
18:d6:c7:83:d9:5e,gabay,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],03/11/2017 18:48:22,11,-88,32.2550409,34.92285823,66.67069271,32,WIFI
00:90:8f:81:62:6c,Ofer,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:22,9,-94,32.2550409,34.92285823,66.67069271,32,WIFI
52:04:15:60:6e:e1,Bezeq Free E0078F,[ESS],03/11/2017 18:48:22,1,-83,32.2550409,34.92285823,66.67069271,32,WIFI
3c:1e:04:08:46:a2,marini 2.4,[WPA2-PSK-CCMP][ESS],03/11/2017 18:48:24,6,-91,32.25522857,34.92291695,70.88566476,24,WIFI
e8:fc:af:81:c3:0d,shmool_2GEXT,[WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:24,1,-92,32.25522857,34.92291695,70.88566476,24,WIFI
c0:ac:54:f7:b3:d2,HOTBOX-3DE0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:24,11,-93,32.25522857,34.92291695,70.88566476,24,WIFI
18:a6:f7:6b:c1:00,Liat,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],03/11/2017 18:48:27,1,-86,32.25545038,34.92305943,67.43007791,24,WIFI
08:3e:5d:54:32:b3,HOTBOX-5DB2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],03/11/2017 18:48:27,11,-88,32.25545038,34.92305943,67.43007791,24,WIFI
f4:f2:6d:2b:22:48,HOT,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],03/11/2017 18:48:27,10,-89,32.25545038,34.92305943,67.43007791,24,WIFI
